,CodigoParlamentar,CodigoMateria,interesse,justificativa_interesse
30903,6027.0,159336,7,Autor de emenda há menos de 1 ano
30904,6027.0,159387,7,Autor de emenda há menos de 1 ano
30905,6027.0,159453,7,Autor de emenda há menos de 1 ano
30906,6027.0,159508,7,Autor de emenda há menos de 1 ano
30907,6027.0,159641,7,Autor de emenda há menos de 1 ano
30908,6027.0,159659,4,Relator atual designado há menos de 1 ano em CMO
30909,6027.0,159688,7,Autor de emenda há menos de 1 ano
30910,6027.0,159760,7,Autor de emenda há menos de 1 ano
30911,6027.0,159834,13,Autor principal da matéria há menos de 1 ano - Discursou sobre a matéria (Discurso) há menos de 1 ano
30912,6027.0,159924,0,Co-autor de PEC
30913,6027.0,159966,0,Co-autor de PEC
30914,6027.0,160000,7,Autor de emenda há menos de 1 ano
30915,6027.0,160011,0,Co-autor de PEC
30916,6027.0,160083,0,Co-autor de PEC
30917,6027.0,160085,7,Autor principal da matéria há menos de 1 ano
30918,6027.0,160086,7,Autor principal da matéria há menos de 1 ano
30919,6027.0,160128,7,Autor de emenda há menos de 1 ano
30920,6027.0,160143,4,Relator atual designado há menos de 1 ano em CDR
30921,6027.0,160148,0,Co-autor de PEC
30922,6027.0,160163,0,Co-autor de PEC
30923,6027.0,160194,5,Co-autor da matéria há menos de 1 ano
30924,6027.0,160197,7,Autor de emenda há menos de 1 ano
30925,6027.0,160232,7,Autor de emenda há menos de 1 ano
30926,6027.0,160239,7,Autor de emenda há menos de 1 ano
30927,6027.0,160268,4,Relator atual designado há menos de 1 ano em CDR
30928,6027.0,160367,7,Autor de emenda há menos de 1 ano
30929,6027.0,160420,7,Autor principal da matéria há menos de 1 ano
30930,6027.0,160545,7,Autor de emenda há menos de 1 ano
30931,6027.0,160546,7,Autor principal da matéria há menos de 1 ano
30932,6027.0,160591,7,Autor principal da matéria há menos de 1 ano
30933,6027.0,160684,0,Co-autor de PEC
30934,6027.0,160728,0,Co-autor de PEC
30935,6027.0,160956,0,Co-autor de PEC
30936,6027.0,160960,0,Co-autor de PEC
30937,6027.0,160970,7,Autor de emenda há menos de 1 ano
30938,6027.0,161010,7,Autor principal da matéria há menos de 1 ano
30939,6304.0,126842,0,Foi designado como relator mas a matéria foi prejudicada em CRA
30940,6304.0,131694,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30941,6304.0,133899,6,Discursou sobre a matéria (Pela ordem) há menos de 1 ano
30942,6304.0,134807,6,Discursou sobre a matéria (Discussão) há menos de 1 ano
30943,6304.0,135378,6,Discursou sobre a matéria (Discussão) há menos de 1 ano
30944,6304.0,138517,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30945,6304.0,138938,4,Relator atual designado há menos de 1 ano em CDR - Foi designado como relator mas a matéria foi prejudicada em CDR
30946,6304.0,139848,4,Relator atual designado há menos de 1 ano em CMA
30947,6304.0,140055,4,Relator atual designado há menos de 1 ano em CAE
30948,6304.0,140280,-5,Foi relator mas houve redistribuição da relatoria em CI
30949,6304.0,141089,14,Relatou a matéria há menos de 1 ano em CI - Autor de emenda há menos de 1 ano
30950,6304.0,145979,4,Relator atual designado há menos de 1 ano em CI
30951,6304.0,146639,-5,Foi relator mas houve redistribuição da relatoria em CRA - Foi designado como relator mas a matéria foi prejudicada em CRA
30952,6304.0,148761,0,Foi designado como relator mas a matéria foi prejudicada em CDR
30953,6304.0,149358,-5,Foi relator mas houve redistribuição da relatoria em CRA - Foi designado como relator mas a matéria foi prejudicada em CRA
30954,6304.0,150340,6,Discursou sobre a matéria (Discussão) há menos de 1 ano
30955,6304.0,150529,6,Relatou a matéria há menos de 3 anos em CRE
30956,6304.0,150530,6,Relatou a matéria há menos de 3 anos em CRE
30957,6304.0,150643,6,Relatou a matéria há menos de 3 anos em CRE
30958,6304.0,150871,6,Relatou a matéria há menos de 3 anos em CRE
30959,6304.0,151017,-5,Foi relator mas houve redistribuição da relatoria em CMA
30960,6304.0,151309,-5,Foi relator mas houve redistribuição da relatoria em CAE
30961,6304.0,151710,13,Relatou a matéria há menos de 1 ano em CAE - Discursou sobre a matéria (Discurso) há menos de 1 ano
30962,6304.0,151832,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30963,6304.0,151851,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30964,6304.0,151967,7,Autor de emenda há menos de 1 ano
30965,6304.0,152262,4,Discursou sobre a matéria (Discurso) há menos de 3 anos
30966,6304.0,152393,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30967,6304.0,152425,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30968,6304.0,152502,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30969,6304.0,152505,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30970,6304.0,152542,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30971,6304.0,152543,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30972,6304.0,152552,4,Relator atual designado há menos de 1 ano em CRE
30973,6304.0,152621,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30974,6304.0,152743,8,Discursou sobre a matéria (Discurso) há menos de 3 anos - Discursou sobre a matéria (Discussão) há menos de 3 anos
